"","Agrupacion","Cargo","Codigo","Distrito","Establecimiento","Fecha","IdCargo","IdCircuito","IdDistrito","IdSeccion","Mesa","Seccion","electores","envio","idAgrupacion","idAgrupacionInt","tipoVoto","votos"
"28","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,504,41,"positivo",15
"29","AVANZA LIBERTAD","CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,503,40,"positivo",12
"30","FRENTE VAMOS CON VOS","CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,508,45,"positivo",7
"31",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"blancos",2
"32",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"nulos",1
"33",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"recurridos",0
"34",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"comando",0
"35",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"impugnados",0
"36","JUNTOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,506,43,"positivo",105
"37","FRENTE DE TODOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,507,44,"positivo",91
"38","AVANZA LIBERTAD","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,503,40,"positivo",29
"39","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,504,41,"positivo",14
"40","FRENTE VAMOS CON VOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,508,45,"positivo",8
"41",NA,"CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,NA,NA,"blancos",10
"42",NA,"CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,NA,NA,"nulos",0
"43",NA,"CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,NA,NA,"recurridos",0
"44",NA,"CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,NA,NA,"comando",0
"45",NA,"CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,NA,NA,"impugnados",0
"46","JUNTOS","CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,506,43,"positivo",117
"47","FRENTE DE TODOS","CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,507,44,"positivo",81
"48","AVANZA LIBERTAD","CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,503,40,"positivo",26
"49","FRENTE VAMOS CON VOS","CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,508,45,"positivo",16
"50","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,504,41,"positivo",12
"51",NA,"CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,NA,NA,"blancos",13
"52",NA,"CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,NA,NA,"nulos",0
"53",NA,"CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,NA,NA,"recurridos",0
"54",NA,"CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,NA,NA,"comando",0
"55",NA,"CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,NA,NA,"impugnados",0
"56","JUNTOS","CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,506,43,"positivo",99
"57","FRENTE DE TODOS","CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,507,44,"positivo",95
"58","AVANZA LIBERTAD","CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,503,40,"positivo",29
"59","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,504,41,"positivo",11
